gps_sow,  rssi, ber
392168.59,  -83, 0.0
392168.6,  -82, 0.0
392168.84,  -75, 0.0
392169.09,  -78, 0.0
392169.35,  -78, 0.0
392169.59,  -83, 0.0
392169.84,  -79, 0.0
392170.12,  -82, 0.0
392170.35,  -82, 0.0
392170.6,  -79, 0.0
392171.11,  -84, 0.0
392171.35,  -70, 0.0
392171.38,  -70, 0.0
392171.41,  -81, 0.0
392171.6,  -74, 0.0
392171.63,  -73, 0.0
392171.85,  -74, 0.0
392172.1,  -79, 0.0
392172.36,  -67, 0.0
392172.66,  -73, 0.0
392172.86,  -67, 0.0
392173.12,  -72, 0.0
392173.13,  -72, 0.0
392173.36,  -69, 0.0
392173.61,  -73, 0.0
392173.86,  -69, 0.0
392173.87,  -70, 0.0
392173.87,  -71, 0.0
392173.88,  -70, 0.0
392174.2,  -73, 0.0
392174.37,  -73, 0.0
392174.61,  -83, 0.0
392174.86,  -68, 0.0
392175.02,  -66, 0.0
392175.41,  -71, 0.0
392175.61,  -84, 0.0
392175.87,  -69, 0.0
392175.87,  -70, 0.0
392176.13,  -67, 0.0
392176.36,  -68, 0.0
392176.62,  -70, 0.0
392176.9,  -71, 0.0
392177.12,  -70, 0.0
392177.48,  -67, 0.0
392177.62,  -69, 0.0
392177.63,  -70, 0.0
392177.87,  -70, 0.0
392177.88,  -70, 0.0
392178.12,  -72, 0.0
392178.5,  -77, 0.0
392178.63,  -72, 0.0
392178.87,  -71, 0.0
392179.13,  -78, 0.0
392179.37,  -76, 0.0
392179.67,  -70, 0.0
392179.91,  -72, 0.0
392180.13,  -72, 0.0
392180.38,  -75, 0.0
392180.66,  -74, 0.0
392181.01,  -75, 0.0
392181.16,  -75, 0.0
392181.17,  -75, 0.0
392181.44,  -73, 0.0
392181.63,  -74, 0.0
392181.88,  -71, 0.0
392181.89,  -70, 0.0
392181.9,  -69, 0.0
392182.24,  -68, 0.0
392182.38,  -71, 0.0
392182.63,  -72, 0.0
392182.64,  -72, 0.0
392182.88,  -73, 0.0
392183.13,  -71, 0.0
392183.38,  -79, 0.0
392183.39,  -78, 0.0
392183.41,  -77, 0.0
392183.64,  -74, 0.0
392183.89,  -69, 0.0
392184.14,  -69, 0.0
392184.38,  -79, 0.0
392184.63,  -75, 0.0
392184.91,  -69, 0.0
392185.14,  -71, 0.0
392185.39,  -71, 0.0
392185.64,  -70, 0.0
392185.65,  -70, 0.0
392185.89,  -74, 0.0
392186.14,  -68, 0.0
392186.39,  -72, 0.0
392186.64,  -71, 0.0
392186.65,  -72, 0.0
392186.66,  -73, 0.0
392186.89,  -70, 0.0
392186.92,  -69, 0.0
392187.14,  -71, 0.0
392187.4,  -75, 0.0
392187.92,  -70, 0.0
392187.97,  -75, 0.0
392188.2,  -75, 0.0
392188.39,  -76, 0.0
392188.64,  -71, 0.0
392188.9,  -75, 0.0
392189.15,  -73, 0.0
392189.4,  -80, 0.0
392189.42,  -80, 0.0
392189.66,  -76, 0.0
392189.69,  -74, 0.0
392189.9,  -72, 0.0
392190.15,  -74, 0.0
392190.4,  -76, 0.0
392190.65,  -69, 0.0
392190.9,  -73, 0.0
392191.15,  -69, 0.0
392191.46,  -73, 0.0
392191.66,  -73, 0.0
392191.9,  -77, 0.0
392192.15,  -79, 0.0
392192.41,  -70, 0.0
392192.66,  -75, 0.0
392192.92,  -73, 0.0
392193.16,  -73, 0.0
392193.41,  -72, 0.0
392193.66,  -71, 0.0
392193.93,  -70, 0.0
392194.15,  -70, 0.0
392194.41,  -72, 0.0
392194.43,  -71, 0.0
392194.67,  -71, 0.0
392194.68,  -72, 0.0
392195.01,  -72, 0.0
392195.16,  -72, 0.0
392195.41,  -73, 0.0
392195.67,  -75, 0.0
392195.91,  -74, 0.0
392196.16,  -72, 0.0
392196.46,  -71, 0.0
392196.71,  -75, 0.0
392197.02,  -72, 0.0
392197.17,  -71, 0.0
392197.42,  -73, 0.0
392197.67,  -72, 0.0
392197.92,  -74, 0.0
392198.26,  -71, 0.0
392198.42,  -72, 0.0
392198.68,  -73, 0.0
392198.93,  -73, 0.0
392198.96,  -71, 0.0
392199.24,  -72, 0.0
392199.42,  -70, 0.0
392199.68,  -72, 0.0
392200.17,  -72, 0.0
392200.43,  -71, 0.0
392200.73,  -71, 0.0
392200.94,  -73, 0.0
392201.19,  -73, 0.0
392201.42,  -75, 0.0
392201.43,  -73, 0.0
392201.69,  -73, 0.0
392201.93,  -72, 0.0
392202.18,  -74, 0.0
392202.43,  -74, 0.0
392202.68,  -80, 0.0
392202.93,  -69, 0.0
392203.18,  -75, 0.0
392203.43,  -73, 0.0
392203.68,  -74, 0.0
392203.94,  -72, 0.0
392203.95,  -72, 0.0
392204.18,  -71, 0.0
392204.19,  -74, 0.0
392204.2,  -71, 0.0
392204.47,  -73, 0.0
392204.77,  -72, 0.0
392205.03,  -72, 0.0
392205.25,  -71, 0.0
392205.69,  -71, 0.0
392205.69,  -74, 0.0
392206.0,  -73, 0.0
392206.01,  -71, 0.0
392206.19,  -70, 0.0
392206.95,  -72, 0.0
392207.21,  -72, 0.0
392207.33,  -69, 0.0
392207.44,  -73, 0.0
392207.71,  -70, 0.0
392207.94,  -72, 0.0
392208.2,  -70, 0.0
392208.45,  -72, 0.0
392208.46,  -70, 0.0
392208.71,  -73, 0.0
392208.94,  -72, 0.0
392209.2,  -74, 0.0
392209.2,  -74, 0.0
392209.22,  -74, 0.0
392209.23,  -72, 0.0
392209.48,  -72, 0.0
392209.73,  -75, 0.0
392210.03,  -72, 0.0
392210.23,  -72, 0.0
392210.46,  -74, 0.0
392210.71,  -74, 0.0
392210.97,  -75, 0.0
392211.24,  -73, 0.0
392211.71,  -74, 0.0
392211.96,  -78, 0.0
392212.2,  -77, 0.0
392212.21,  -75, 0.0
392212.25,  -75, 0.0
392212.51,  -74, 0.0
392212.71,  -73, 0.0
392212.96,  -75, 0.0
392213.23,  -71, 0.0
392213.24,  -73, 0.0
392213.25,  -73, 0.0
392213.25,  -71, 0.0
392213.46,  -72, 0.0
392214.18,  -74, 0.0
392214.28,  -72, 0.0
392214.46,  -73, 0.0
392214.47,  -73, 0.0
392214.47,  -73, 0.0
392214.71,  -74, 0.0
392214.75,  -73, 0.0
392215.01,  -71, 0.0
392215.21,  -72, 0.0
392215.54,  -72, 0.0
392215.54,  -72, 0.0
392215.71,  -73, 0.0
392215.96,  -77, 0.0
392216.39,  -74, 0.0
392216.48,  -73, 0.0
392216.72,  -77, 0.0
392216.75,  -76, 0.0
392216.99,  -77, 0.0
392216.99,  -76, 0.0
392217.21,  -73, 0.0
392217.5,  -77, 0.0
392217.72,  -79, 0.0
392217.74,  -80, 0.0
392217.75,  -79, 0.0
392218.01,  -77, 0.0
392218.02,  -79, 0.0
392218.22,  -72, 0.0
392218.5,  -73, 0.0
392218.52,  -72, 0.0
392218.72,  -73, 0.0
392219.06,  -70, 0.0
392219.22,  -75, 0.0
392219.5,  -73, 0.0
392219.86,  -72, 0.0
392220.24,  -72, 0.0
392220.52,  -70, 0.0
392220.61,  -71, 0.0
392220.62,  -72, 0.0
392220.63,  -71, 0.0
392220.88,  -73, 0.0
392221.13,  -73, 0.0
392221.31,  -72, 0.0
392221.52,  -73, 0.0
392221.78,  -73, 0.0
392222.13,  -72, 0.0
392222.37,  -72, 0.0
392222.48,  -74, 0.0
392222.73,  -72, 0.0
392222.98,  -74, 0.0
392223.29,  -75, 0.0
392223.49,  -74, 0.0
392223.73,  -73, 0.0
392223.99,  -74, 0.0
392224.02,  -73, 0.0
392224.23,  -73, 0.0
392224.48,  -75, 0.0
392224.49,  -75, 0.0
392224.73,  -77, 0.0
392225.1,  -77, 0.0
392225.25,  -79, 0.0
392225.65,  -75, 0.0
392225.73,  -74, 0.0
392225.99,  -79, 0.0
392226.24,  -71, 0.0
392226.49,  -72, 0.0
392226.5,  -71, 0.0
392226.76,  -73, 0.0
392227.06,  -72, 0.0
392227.07,  -72, 0.0
392227.27,  -72, 0.0
392227.28,  -72, 0.0
392227.28,  -73, 0.0
392227.72,  -71, 0.0
392227.86,  -70, 0.0
392227.99,  -72, 0.0
392228.0,  -74, 0.0
392228.06,  -74, 0.0
392228.24,  -71, 0.0
392228.49,  -72, 0.0
392228.75,  -72, 0.0
392229.05,  -71, 0.0
392229.25,  -71, 0.0
392229.5,  -72, 0.0
392229.75,  -73, 0.0
392229.76,  -72, 0.0
392229.78,  -72, 0.0
392230.0,  -71, 0.0
392230.04,  -72, 0.0
392230.26,  -71, 0.0
392230.27,  -71, 0.0
392230.5,  -72, 0.0
392230.75,  -72, 0.0
392230.76,  -73, 0.0
392231.0,  -73, 0.0
392231.01,  -76, 0.0
392231.31,  -74, 0.0
392231.85,  -75, 0.0
392231.86,  -74, 0.0
392231.87,  -74, 0.0
392232.11,  -76, 0.0
392232.12,  -75, 0.0
392232.38,  -74, 0.0
392232.54,  -76, 0.0
392232.61,  -78, 0.0
392232.83,  -77, 0.0
392233.18,  -78, 0.0
392233.34,  -77, 0.0
392233.51,  -77, 0.0
392233.76,  -71, 0.0
392233.77,  -75, 0.0
392234.01,  -73, 0.0
392234.29,  -76, 0.0
392234.3,  -74, 0.0
392234.53,  -78, 0.0
392234.76,  -73, 0.0
392235.07,  -73, 0.0
392235.31,  -73, 0.0
392235.51,  -69, 0.0
392235.76,  -72, 0.0
392236.02,  -73, 0.0
392236.03,  -71, 0.0
392236.04,  -72, 0.0
392236.26,  -74, 0.0
392236.56,  -78, 0.0
392236.82,  -79, 0.0
392237.12,  -74, 0.0
392237.67,  -70, 0.0
392238.14,  -72, 0.0
392238.16,  -71, 0.0
392238.17,  -71, 0.0
392238.29,  -71, 0.0
392238.47,  -72, 0.0
392238.58,  -71, 0.0
392238.77,  -69, 0.0
392239.12,  -73, 0.0
392239.45,  -73, 0.0
392239.52,  -74, 0.0
392239.79,  -73, 0.0
392239.81,  -76, 0.0
392240.03,  -76, 0.0
392240.3,  -75, 0.0
392240.53,  -74, 0.0
392240.81,  -74, 0.0
392241.02,  -73, 0.0
392241.28,  -73, 0.0
