timestamp,rssi,packet_length,bits_error
106,120,192,0
151,117,824,0
187,120,568,0
224,117,664,0
267,120,176,0
305,120,640,0
352,117,864,0
426,120,240,0
472,117,808,0
536,120,360,0
560,120,328,0
604,120,688,0
625,120,168,0
701,120,792,0
753,120,632,0
853,120,592,0
896,117,128,0
953,120,680,0
997,120,360,0
1034,120,664,0
1091,120,856,0
1118,120,696,0
1152,120,488,0
1200,120,320,0
1251,120,448,0
1319,120,416,0
1355,120,768,0
1400,120,152,0
1436,120,848,0
1491,120,480,0
1519,120,72,0
1553,120,816,0
1597,120,56,0
1655,120,840,0
1698,120,48,0
1750,117,648,0
1793,120,632,0
1824,120,392,0
1899,120,240,0
1954,120,432,0
2019,120,488,0
2056,120,536,0
2107,120,488,0
2138,117,472,0
2302,120,728,0
2349,120,760,0
2401,120,584,0
2434,120,584,0
2506,117,168,0
2553,120,560,0
2606,120,264,0
2639,117,40,0
2681,120,488,0
2736,120,384,0
2748,120,168,0
2785,120,392,0
2848,120,368,0
2885,120,8,0
2948,120,520,0
2985,117,440,0
3034,120,40,0
3069,120,184,0
3121,120,824,0
3242,120,264,0
3257,120,488,0
3290,120,192,0
3340,117,688,0
3407,120,408,0
3462,120,680,0
3506,120,376,0
3562,117,200,0
3574,120,208,0
3648,120,368,0
3662,117,648,0
3689,120,160,0
3742,120,760,0
3776,120,616,0
3816,120,576,0
3893,120,200,0
3914,120,464,0
3964,120,128,0
3978,117,16,0
4011,120,376,0
4068,120,584,0
4085,120,648,0
4123,120,776,0
4172,117,64,0
4203,120,592,0
4266,120,136,0
4315,120,632,0
4365,120,128,0
4397,120,376,0
4453,117,144,0
4485,120,360,0
4505,117,64,0
4580,117,96,0
4614,120,672,0
4676,120,72,0
4716,120,400,0
4766,120,192,0
4851,120,752,0
4923,120,128,0
4982,120,80,0
4995,120,88,0
5088,120,520,0
5125,120,616,0
5176,120,496,0
5247,120,248,0
5283,120,464,0
5321,117,712,0
5370,120,808,0
5404,117,440,0
5464,120,568,0
5491,120,808,0
5527,120,8,0
5565,120,24,0
5631,120,808,0
5699,120,688,0
5750,120,152,0
5787,120,64,0
5824,117,144,0
5877,120,128,0
5913,117,840,0
5951,120,248,0
5986,120,720,0
6045,120,168,0
6076,120,200,0
6113,120,368,0
6150,117,328,0
6185,120,96,0
6222,120,248,0
6296,120,344,0
6352,120,600,0
6388,120,184,0
6426,120,680,0
6476,117,200,0
6513,120,784,0
6549,120,392,0
6584,120,384,0
6621,120,40,0
6665,120,296,0
6701,117,256,0
6757,120,648,0
6814,120,168,0
6857,120,584,0
6905,120,600,0
6956,117,376,0
6993,120,656,0
7029,120,440,0
7097,120,40,0
7147,120,800,0
7182,117,16,0
7219,117,432,0
7301,120,712,0
7363,117,400,0
7393,117,200,0
7430,120,224,0
7466,123,408,0
7501,120,688,0
7552,120,168,0
7588,114,392,0
7644,120,168,0
7675,114,304,0
7712,117,472,0
7750,120,256,0
7783,120,256,0
7825,117,504,0
7864,120,248,0
7899,111,328,0
7981,117,112,0
8022,117,736,0
8093,117,560,0
8148,120,824,0
8184,120,40,0
8263,117,240,0
8278,120,552,0
8303,120,168,0
8362,120,800,0
8392,123,480,0
8448,123,320,0
8494,120,328,0
8678,120,856,0
8702,117,576,0
8722,114,736,0
8777,117,696,0
8789,120,608,0
8822,114,624,0
8874,117,480,0
8911,117,104,0
8959,117,328,0
8982,117,184,0
9021,114,856,0
9069,123,120,0
9101,120,24,0
9248,120,176,0
9284,114,72,0
9322,114,712,0
9374,111,208,0
9412,120,368,0
9467,123,32,0
9484,117,232,0
9521,117,560,0
9574,114,264,0
9611,117,656,0
9671,117,152,0
9716,117,608,0
9766,117,16,0
9862,117,656,0
9888,117,88,0
9925,117,688,0
9975,114,696,0
10012,117,488,0
10062,117,592,0
10088,117,656,0
10125,114,680,0
10177,117,64,0
10212,117,496,0
10260,117,80,0
10281,117,600,0
10318,117,704,0
10367,117,416,0
10412,117,864,0
10456,117,520,0
10493,114,736,0
10549,117,432,0
10585,117,448,0
10622,117,248,0
10673,117,704,0
10712,117,176,0
10761,117,328,0
10781,117,56,0
10865,117,840,0
10902,117,808,0
10961,117,264,0
10990,117,688,0
11073,117,624,2
11088,117,360,0
11154,117,232,0
11190,117,176,0
11250,117,808,0
11290,117,120,0
11360,117,584,0
11397,117,544,0
11473,114,120,0
11510,114,792,0
11547,117,584,0
11581,117,384,0
11620,117,616,0
11676,114,112,0
11715,117,0,0
11764,117,64,0
11797,117,224,0
11862,117,448,0
11889,120,464,0
11926,117,432,0
11975,117,288,0
12012,117,784,112
12074,117,304,0
12089,117,384,0
12122,117,360,0
12174,117,656,0
12211,117,120,0
12260,117,40,0
12281,117,384,0
12319,120,648,0
12368,117,256,0
12400,117,776,0
12454,117,760,0
12528,114,528,0
12590,117,672,0
12646,117,520,0
12683,117,752,0
12763,117,264,0
12799,117,536,0
12849,114,96,0
12880,117,40,0
12922,117,232,0
12961,114,712,0
12998,117,824,0
13060,114,776,0
13123,117,184,0
13176,117,608,0
13215,117,48,0
13277,117,32,0
13313,117,160,0
13359,117,304,0
13396,120,488,0
13463,117,280,0
13489,120,96,0
13526,117,776,0
13575,117,576,0
13599,117,520,0
13649,117,88,0
13686,117,520,0
13745,117,544,0
13782,117,152,0
13854,117,648,0
13890,117,48,0
13927,114,528,0
13980,117,376,0
14000,117,704,0
14052,117,152,0
14089,117,664,0
14125,117,312,0
14163,117,288,0
14196,117,312,0
14248,117,768,0
14321,117,480,0
14372,117,664,0
14414,117,288,0
14447,117,416,0
14484,120,512,0
14541,117,840,0
14571,117,56,0
14613,114,192,0
14656,114,584,0
14692,117,80,0
14748,117,432,0
14821,114,216,0
14871,117,656,0
14955,117,656,144
15011,117,536,0
15061,117,256,0
15096,117,368,0
15147,117,792,0
15182,117,136,0
15258,117,320,0
15295,117,760,0
15331,117,336,0
15384,120,576,0
15421,117,408,0
15515,117,208,0
15577,117,816,0
15601,120,560,0
15672,120,560,0
15709,120,104,0
15761,117,712,0
15792,117,560,0
15873,117,632,0
15885,117,16,0
15941,117,496,0
16052,117,64,0
16089,117,648,0
16212,117,64,0
16260,120,312,0
16297,120,808,0
16358,120,800,0
16389,120,664,0
