gps_sow, latitude, longitude, height
391468.0,  51.711998161,  -0.210147856,  161.0575
391468.5,  51.711997847,  -0.210150771,  161.5554
391469.0,  51.711995222,  -0.210151315,  160.4923
391469.5,  51.711996884,  -0.210153043,  160.3143
391470.0,  51.711997050,  -0.210157697,  159.6326
391470.5,  51.711996920,  -0.210156641,  159.2867
391471.0,  51.711997172,  -0.210157963,  159.7536
391471.5,  51.711997781,  -0.210159618,  159.5891
391472.0,  51.711997569,  -0.210160139,  158.9775
391472.5,  51.711996824,  -0.210161529,  159.0132
391473.0,  51.711996394,  -0.210163422,  158.4137
391473.5,  51.711995550,  -0.210163409,  157.7957
391474.0,  51.711994807,  -0.210161520,  157.3259
391474.5,  51.711994394,  -0.210162008,  156.4372
391475.0,  51.711993422,  -0.210162763,  155.9038
391475.5,  51.711992854,  -0.210163338,  155.4255
391476.0,  51.711992661,  -0.210164144,  155.0236
391476.5,  51.711993338,  -0.210165045,  154.6716
391477.0,  51.711993995,  -0.210165265,  154.2275
391477.5,  51.711994350,  -0.210165880,  153.9549
391478.0,  51.711994371,  -0.210165986,  153.7257
391478.5,  51.711994137,  -0.210165758,  153.6979
391479.0,  51.711993743,  -0.210165920,  153.5092
391479.5,  51.711993911,  -0.210166407,  153.3536
391480.0,  51.711993445,  -0.210166616,  153.2402
391480.5,  51.711992782,  -0.210167564,  153.1874
391481.0,  51.711993632,  -0.210167730,  153.3035
391481.5,  51.711994000,  -0.210167403,  153.0419
391482.0,  51.711994156,  -0.210167685,  152.5701
391482.5,  51.711994879,  -0.210167738,  152.5147
391483.0,  51.711995436,  -0.210167848,  152.4022
391483.5,  51.711995323,  -0.210167915,  152.4395
391484.0,  51.711995751,  -0.210168988,  152.4590
391484.5,  51.711996430,  -0.210168284,  152.5475
391485.0,  51.711996736,  -0.210167816,  152.6487
391485.5,  51.711996626,  -0.210167442,  152.5467
391491.0,  51.711984269,  -0.210164761,  151.2743
391491.5,  51.711984063,  -0.210164786,  151.0693
391492.0,  51.711984327,  -0.210164389,  150.9917
391492.5,  51.711984033,  -0.210162103,  150.1773
391493.0,  51.711984497,  -0.210163344,  150.7901
391493.5,  51.711984663,  -0.210165085,  151.2909
391494.0,  51.711984547,  -0.210163852,  150.7862
391494.5,  51.711984493,  -0.210164006,  150.7044
391495.0,  51.711984114,  -0.210164248,  150.6227
391495.5,  51.711983898,  -0.210164887,  150.5155
391496.0,  51.711983572,  -0.210164601,  150.1662
391496.5,  51.711983112,  -0.210165154,  150.1610
391497.0,  51.711983023,  -0.210166232,  150.3191
391497.5,  51.711983128,  -0.210166228,  150.2587
391498.0,  51.711982872,  -0.210165796,  149.9443
391498.5,  51.711982500,  -0.210166196,  149.8488
391499.0,  51.711982459,  -0.210166341,  149.6988
391499.5,  51.711982278,  -0.210166601,  149.4364
391500.0,  51.711982344,  -0.210166918,  149.2806
391500.5,  51.711982494,  -0.210166660,  149.1080
391501.0,  51.711982628,  -0.210166442,  148.8985
391501.5,  51.711982854,  -0.210166254,  148.7210
391502.0,  51.711982880,  -0.210165948,  148.5533
391502.5,  51.711982981,  -0.210166060,  148.4977
391503.0,  51.711983081,  -0.210165940,  148.3049
391503.5,  51.711983244,  -0.210165932,  148.2417
391504.0,  51.711983401,  -0.210166004,  148.1326
391504.5,  51.711983598,  -0.210165718,  148.0217
391505.0,  51.711983844,  -0.210165516,  147.8782
391505.5,  51.711984117,  -0.210165281,  147.7671
391506.0,  51.711984139,  -0.210165723,  147.7941
391506.5,  51.711984241,  -0.210165782,  147.7556
391507.0,  51.711984456,  -0.210165624,  147.6192
391507.5,  51.711984738,  -0.210165563,  147.5691
391508.0,  51.711984897,  -0.210165534,  147.5031
391508.5,  51.711985079,  -0.210165558,  147.3962
391509.0,  51.711985089,  -0.210165434,  147.2425
391509.5,  51.711985108,  -0.210165326,  147.1225
391510.0,  51.711985018,  -0.210165209,  146.9911
391510.5,  51.711985165,  -0.210164916,  146.8908
391511.0,  51.711985088,  -0.210164385,  146.6731
391511.5,  51.711985106,  -0.210164356,  146.5513
391512.0,  51.711984995,  -0.210164340,  146.4388
391512.5,  51.711984736,  -0.210164809,  146.4309
391513.0,  51.711984536,  -0.210164904,  146.3125
391513.5,  51.711984329,  -0.210164905,  146.1681
391514.0,  51.711984121,  -0.210164841,  146.0501
391514.5,  51.711983994,  -0.210164612,  145.9241
391515.0,  51.711983985,  -0.210164618,  145.8223
391515.5,  51.711984051,  -0.210164555,  145.7151
391516.0,  51.711983937,  -0.210164637,  145.6493
391516.5,  51.711983954,  -0.210164673,  145.5259
391517.0,  51.711983909,  -0.210164634,  145.4221
391517.5,  51.711983877,  -0.210164642,  145.3253
391518.0,  51.711983995,  -0.210164470,  145.2351
391518.5,  51.711983938,  -0.210164652,  145.1500
391519.0,  51.711983870,  -0.210164864,  145.0978
391519.5,  51.711983971,  -0.210165036,  145.0581
391520.0,  51.711984010,  -0.210165037,  145.0350
391520.5,  51.711984129,  -0.210165006,  145.0069
391521.0,  51.711984141,  -0.210164949,  144.9148
391521.5,  51.711984144,  -0.210164930,  144.8405
391522.0,  51.711984345,  -0.210164985,  144.7842
391522.5,  51.711984380,  -0.210165153,  144.7425
391523.0,  51.711984402,  -0.210165072,  144.6546
391523.5,  51.711984504,  -0.210164820,  144.5303
391524.0,  51.711984677,  -0.210164432,  144.4501
391524.5,  51.711984756,  -0.210164602,  144.4832
391525.0,  51.711984837,  -0.210164647,  144.4780
391525.5,  51.711984951,  -0.210164482,  144.4259
391526.0,  51.711985048,  -0.210164272,  144.3677
391526.5,  51.711985119,  -0.210164150,  144.2925
391527.0,  51.711985172,  -0.210164025,  144.2352
391527.5,  51.711985113,  -0.210163958,  144.1647
391528.0,  51.711985093,  -0.210163768,  144.1314
391528.5,  51.711985068,  -0.210163830,  144.0905
391529.0,  51.711985076,  -0.210163637,  144.0533
391529.5,  51.711985047,  -0.210163609,  143.9606
391530.0,  51.711984973,  -0.210163626,  143.9020
391530.5,  51.711984835,  -0.210163714,  143.8390
391531.0,  51.711984592,  -0.210163873,  143.8134
391531.5,  51.711984376,  -0.210164073,  143.7547
