secs, centisecs, vread
0,25,0
0,84,9
1,120,9
1,163,8
2,200,3
2,237,3
2,279,14
3,318,9
3,364,7
4,401,12
4,438,5
4,484,8
5,548,8
5,592,8
6,638,13
6,689,0
7,725,11
7,788,11
8,825,1
8,884,7
9,921,6
9,985,3
10,1022,7
10,1058,1
11,1103,15
11,1140,1
11,1188,10
12,1225,5
12,1263,11
13,1300,5
13,1337,9
13,1388,8
14,1424,8
14,1460,6
15,1503,9
15,1541,7
15,1585,12
16,1622,2
16,1686,6
17,1723,12
17,1762,1
18,1805,15
18,1842,8
18,1887,2
19,1924,13
19,1988,10
20,2031,13
20,2088,12
21,2126,0
21,2162,1
21,2198,8
22,2235,11
22,2271,1
23,2320,11
23,2370,3
24,2420,9
24,2464,12
25,2523,5
25,2573,12
26,2624,9
26,2661,6
27,2721,9
27,2760,15
28,2817,14
28,2860,1
29,2918,16
29,2960,8
30,3017,1
30,3054,1
30,3090,6
31,3140,7
31,3177,7
32,3221,14
32,3269,6
33,3322,5
33,3359,7
33,3395,9
34,3448,7
34,3485,10
35,3548,4
35,3586,8
36,3627,6
36,3674,2
37,3711,7
37,3759,14
37,3796,8
38,3881,5
39,3945,9
39,3990,0
40,4048,9
40,4098,14
41,4154,14
41,4191,11
42,4245,1
42,4282,11
43,4347,14
43,4385,13
44,4421,7
44,4471,1
45,4524,11
45,4566,8
46,4602,12
46,4651,2
46,4692,12
47,4748,5
47,4785,0
48,4821,1
48,4869,6
49,4906,11
49,4965,13
50,5015,11
50,5052,3
51,5101,10
51,5164,13
52,5201,14
52,5265,2
53,5302,6
53,5352,15
53,5389,3
54,5425,9
54,5479,9
55,5515,0
55,5582,0
56,5618,2
56,5669,5
57,5717,4
57,5768,5
58,5805,2
58,5865,8
59,5901,16
59,5969,2
60,6006,4
60,6064,4
61,6101,0
61,6168,15
62,6205,5
62,6253,0
63,6314,11
63,6369,14
64,6414,12
64,6464,10
65,6501,0
65,6567,3
66,6604,9
66,6653,7
66,6690,12
67,6745,13
67,6782,10
68,6845,9
68,6882,14
69,6944,4
69,6981,14
70,7017,5
70,7068,5
71,7116,10
71,7165,13
72,7202,0
72,7251,8
72,7288,3
73,7324,15
73,7381,0
74,7418,9
74,7481,9
75,7519,4
75,7569,6
76,7613,1
76,7663,9
77,7700,7
77,7769,5
78,7813,6
78,7878,14
79,7919,0
79,7963,5
80,8000,12
80,8065,7
81,8114,8
81,8166,6
82,8203,1
82,8242,0
82,8290,0
83,8344,4
83,8381,0
84,8417,10
84,8466,9
85,8516,4
