gps_sow,  rssi, ber
392168.5900,  -83, 0.0
392168.6000,  -82, 0.0
392168.8400,  -75, 0.0
392169.0900,  -78, 0.0
392169.3500,  -78, 0.0
392169.5900,  -83, 0.0
392169.8400,  -79, 0.0
392170.1200,  -82, 0.0
392170.3500,  -82, 0.0
392170.6000,  -79, 0.0
392171.1100,  -84, 0.0
392171.3500,  -70, 0.0
392171.3800,  -70, 0.0
392171.4100,  -81, 0.0
392171.6000,  -74, 0.0
392171.6300,  -73, 0.0
392171.8500,  -74, 0.0
392172.1000,  -79, 0.0
392172.3600,  -67, 0.0
392172.6600,  -73, 0.0
392172.8600,  -67, 0.0
392173.1200,  -72, 0.0
392173.1300,  -72, 0.0
392173.3600,  -69, 0.0
392173.6100,  -73, 0.0
392173.8600,  -69, 0.0
392173.8700,  -70, 0.0
392173.8710,  -71, 0.0
392173.8800,  -70, 0.0
392174.2000,  -73, 0.0
392174.3700,  -73, 0.0
392174.6100,  -83, 0.0
392174.8600,  -68, 0.0
392175.0200,  -66, 0.0
392175.4100,  -71, 0.0
392175.6100,  -84, 0.0
392175.8700,  -69, 0.0
392175.8710,  -70, 0.0
392176.1300,  -67, 0.0
392176.3600,  -68, 0.0
392176.6200,  -70, 0.0
392176.9000,  -71, 0.0
392177.1200,  -70, 0.0
392177.4800,  -67, 0.0
392177.6200,  -69, 0.0
392177.6300,  -70, 0.0
392177.8700,  -70, 0.0
392177.8800,  -70, 0.0
392178.1200,  -72, 0.0
392178.5000,  -77, 0.0
392178.6300,  -72, 0.0
392178.8700,  -71, 0.0
392179.1300,  -78, 0.0
392179.3700,  -76, 0.0
392179.6700,  -70, 0.0
392179.9100,  -72, 0.0
392180.1300,  -72, 0.0
392180.3800,  -75, 0.0
392180.6600,  -74, 0.0
392181.0100,  -75, 0.0
392181.1600,  -75, 0.0
392181.1700,  -75, 0.0
392181.4400,  -73, 0.0
392181.6300,  -74, 0.0
392181.8800,  -71, 0.0
392181.8900,  -70, 0.0
392181.9000,  -69, 0.0
392182.2400,  -68, 0.0
392182.3800,  -71, 0.0
392182.6300,  -72, 0.0
392182.6400,  -72, 0.0
392182.8800,  -73, 0.0
392183.1300,  -71, 0.0
392183.3800,  -79, 0.0
392183.3900,  -78, 0.0
392183.4100,  -77, 0.0
392183.6400,  -74, 0.0
