gps_sow, latitude, longitude, height
391430.152,  51.711989057,  -0.210069750,  133.7578
391430.742,  51.711990353,  -0.210073628,  134.8506
391431.242,  51.711993423,  -0.210073139,  135.1418
391431.742,  51.711990901,  -0.210071558,  134.7786
391432.242,  51.711989500,  -0.210071879,  134.9919
391432.742,  51.711988914,  -0.210072027,  134.1665
391433.242,  51.711989063,  -0.210071551,  134.6482
391433.832,  51.711987969,  -0.210071398,  135.0773
391434.332,  51.711987203,  -0.210072222,  135.4277
391434.832,  51.711986118,  -0.210070383,  135.6436
391435.332,  51.711986593,  -0.210069448,  135.6439
391435.832,  51.711985752,  -0.210070084,  135.8140
391436.332,  51.711985991,  -0.210068927,  135.8168
391436.922,  51.711985887,  -0.210069115,  135.9158
391437.422,  51.711986127,  -0.210069526,  136.2151
391437.922,  51.711985894,  -0.210070612,  136.2173
391438.422,  51.711986251,  -0.210070741,  136.1418
391438.922,  51.711987301,  -0.210071203,  135.9308
391439.422,  51.711987550,  -0.210071636,  135.9871
391440.0,  51.711988300,  -0.210072000,  136.2201
391440.5,  51.711989384,  -0.210072772,  136.5469
391441.0,  51.711989812,  -0.210073440,  136.8173
391441.5,  51.711989984,  -0.210074301,  137.0313
391442.0,  51.711990625,  -0.210073738,  137.2093
391442.5,  51.711991766,  -0.210074618,  138.2183
391443.0,  51.711991737,  -0.210074741,  138.2556
391443.5,  51.711991709,  -0.210074749,  138.2245
391444.0,  51.711991743,  -0.210074650,  138.2339
391444.5,  51.711992580,  -0.210077157,  138.6842
391445.0,  51.711992790,  -0.210077456,  138.8540
391445.5,  51.711992700,  -0.210077693,  138.8554
391446.0,  51.711992717,  -0.210078457,  138.8367
391446.5,  51.711993265,  -0.210079006,  138.8027
391447.0,  51.711993352,  -0.210079488,  138.7880
391447.5,  51.711993620,  -0.210079871,  138.7260
391448.0,  51.711993839,  -0.210080513,  138.8438
391448.5,  51.711993659,  -0.210080917,  138.8359
391449.0,  51.711993580,  -0.210081109,  138.8117
391449.5,  51.711993656,  -0.210081230,  138.6978
391450.0,  51.711993511,  -0.210081048,  138.6464
391450.5,  51.711993340,  -0.210080716,  138.7033
