gps_sow, status, numtx
392540.0, 0, 1
392540.15, 0, 1
392540.3, 0, 1
392540.45, 0, 1
392540.6, 0, 1
392540.75, 0, 1
392540.9, 0, 1
392541.05, 0, 1
392541.2, 0, 1
392541.35, 0, 1
392541.5, 0, 1
392541.65, 0, 1
392541.8, 0, 1
392541.95, 0, 1
392542.1, 0, 1
392542.25, 0, 1
392542.4, 0, 1
392542.55, 0, 1
392542.7, 0, 1
392542.85, 0, 1
392543.0, 0, 1
392543.15, 0, 1
392543.3, 0, 1
392543.45, 0, 1
392543.6, 0, 1
392543.75, 0, 1
392543.9, 0, 1
392544.05, 0, 1
392544.2, 0, 1
392544.35, 0, 1
392544.5, 0, 1
392544.65, 0, 1
392544.8, 0, 1
392544.95, 0, 1
392545.1, 0, 1
392545.25, 0, 1
392545.4, 0, 1
392545.55, 0, 1
392545.7, 0, 1
392545.85, 0, 1
392546.0, 0, 1
392546.15, 0, 1
392546.3, 0, 1
392546.45, 0, 1
392546.6, 0, 1
392546.75, 0, 1
392546.9, 0, 1
392547.05, 0, 1
392547.2, 0, 1
392547.35, 0, 1
392547.5, 0, 1
392547.65, 0, 1
392547.8, 0, 1
392547.95, 0, 1
392548.1, 0, 1
392548.25, 0, 1
392548.4, 0, 1
392548.55, 0, 1
392548.7, 0, 1
392548.85, 0, 1
392549.0, 0, 1
392549.15, 0, 1
392549.3, 0, 1
392549.45, 0, 1
392549.6, 0, 1
392549.75, 0, 1
392549.9, 0, 1
392550.05, 0, 1
392550.2, 0, 1
392550.35, 0, 1
392550.5, 0, 1
392550.65, 0, 1
392550.8, 0, 1
392550.95, 0, 1
392551.1, 0, 1
392551.25, 0, 1
392551.4, 0, 1
392551.55, 0, 1
392551.7, 0, 1
392551.85, 0, 1
392552.0, 0, 1
392552.15, 0, 1
392552.3, 0, 1
392552.45, 0, 1
392552.6, 0, 1
392552.75, 0, 1
392552.9, 0, 1
392553.05, 0, 1
392553.2, 0, 1
392553.35, 0, 1
392553.5, 0, 1
392553.65, 0, 1
392553.8, 0, 1
392553.95, 0, 1
392554.1, 0, 1
392554.25, 0, 1
392554.4, 0, 1
392554.55, 0, 1
392554.7, 0, 1
392554.85, 0, 1
392555.0, 0, 1
392555.15, 0, 1
392555.3, 0, 1
392555.45, 0, 1
392555.6, 0, 1
392555.75, 0, 1
392555.9, 0, 1
392556.05, 0, 1
392556.2, 0, 1
392556.35, 0, 1
392556.5, 0, 1
392556.65, 0, 1
392556.8, 0, 1
392556.95, 0, 1
392557.1, 0, 1
392557.25, 0, 1
392557.4, 0, 1
392557.55, 0, 1
392557.7, 0, 1
392557.85, 0, 1
392558.0, 0, 1
392558.15, 0, 1
392558.3, 0, 1
392558.45, 0, 1
392558.6, 0, 1
392558.75, 0, 1
392558.9, 0, 1
392559.05, 0, 1
392559.2, 0, 1
392559.35, 0, 1
392559.5, 0, 1
392559.65, 0, 1
392559.8, 0, 1
392559.95, 0, 1
392560.1, 0, 1
392560.25, 0, 1
392560.4, 0, 1
392560.55, 0, 1
392560.7, 0, 1
392560.85, 0, 1
392561.0, 0, 1
392561.15, 0, 1
392561.3, 0, 1
392561.45, 0, 1
392561.6, 0, 1
392561.75, 0, 1
392561.9, 0, 1
392562.05, 0, 1
392562.2, 0, 1
392562.35, 0, 1
392562.5, 0, 1
392562.65, 0, 1
392562.8, 0, 1
392562.95, 0, 1
392563.1, 0, 1
392563.25, 0, 1
392563.4, 0, 1
392563.55, 0, 1
392563.7, 0, 1
392563.85, 0, 1
392564.0, 0, 1
392564.15, 0, 1
392564.3, 0, 1
392564.45, 0, 1
392564.6, 0, 1
392564.75, 0, 1
392564.9, 0, 1
392565.05, 0, 1
392565.2, 0, 1
392565.35, 0, 1
392565.5, 0, 1
392565.65, 0, 1
392565.8, 0, 1
392565.95, 0, 1
392566.1, 0, 1
392566.25, 0, 1
392566.4, 0, 1
392566.55, 0, 1
392566.7, 0, 1
392566.85, 0, 1
392567.0, 0, 1
392567.15, 0, 1
392567.3, 0, 1
392567.45, 0, 1
392567.6, 0, 1
392567.75, 0, 1
392567.9, 0, 1
392568.05, 0, 1
392568.2, 0, 1
392568.35, 0, 1
392568.5, 0, 1
392568.65, 0, 1
392568.8, 0, 1
392568.95, 0, 1
392569.1, 0, 1
392569.25, 0, 1
392569.4, 0, 1
392569.55, 0, 1
392569.7, 0, 1
392569.85, 0, 1
392570.0, 0, 1
392570.15, 0, 1
392570.3, 0, 1
392570.45, 0, 1
392570.6, 0, 1
392570.75, 0, 1
392570.9, 0, 1
392571.05, 0, 1
392571.2, 0, 1
392571.35, 0, 1
392571.5, 0, 1
392571.65, 0, 1
392571.8, 0, 1
392571.95, 0, 1
392572.1, 0, 1
392572.25, 0, 1
392572.4, 0, 1
392572.55, 0, 1
392572.7, 0, 1
392572.85, 0, 1
392573.0, 0, 1
392573.15, 0, 1
392573.3, 0, 1
392573.45, 0, 1
392573.6, 0, 1
392573.75, 0, 1
392573.9, 0, 1
392574.05, 0, 1
392574.2, 0, 1
392574.35, 0, 1
392574.5, 0, 1
392574.65, 0, 1
392574.8, 0, 1
392574.95, 0, 1
392575.1, 0, 1
392575.25, 0, 1
392575.4, 0, 1
392575.55, 0, 1
392575.7, 0, 1
392575.85, 0, 1
392576.0, 0, 1
392576.15, 0, 1
392576.3, 0, 1
392576.45, 0, 1
392576.6, 0, 1
392576.75, 0, 1
392576.9, 0, 1
392577.05, 0, 1
392577.2, 0, 1
392577.35, 0, 1
392577.5, 0, 1
392577.65, 0, 1
392577.8, 0, 1
392577.95, 0, 1
392578.1, 0, 1
392578.25, 0, 1
392578.4, 0, 1
392578.55, 0, 1
392578.7, 0, 1
392578.85, 0, 1
392579.0, 0, 1
392579.15, 0, 1
392579.3, 0, 1
392579.45, 0, 1
392579.6, 0, 1
392579.75, 0, 1
392579.9, 0, 1
392580.05, 0, 1
392580.2, 0, 1
392580.35, 0, 1
392580.5, 0, 1
392580.65, 0, 1
392580.8, 0, 1
392580.95, 0, 1
392581.1, 0, 1
392581.25, 0, 1
392581.4, 0, 1
392581.55, 0, 1
392581.7, 0, 1
392581.85, 0, 1
392582.0, 0, 1
392582.15, 0, 1
392582.3, 0, 1
392582.45, 0, 1
392582.6, 0, 1
392582.75, 0, 1
392582.9, 0, 1
392583.05, 0, 1
392583.2, 0, 1
392583.35, 0, 1
392583.5, 0, 1
392583.65, 0, 1
392583.8, 0, 1
392583.95, 0, 1
392584.1, 0, 1
392584.25, 0, 1
392584.4, 0, 1
392584.55, 0, 1
392584.7, 0, 1
392584.85, 0, 1
392585.0, 0, 1
392585.15, 0, 1
392585.3, 0, 1
392585.45, 0, 1
392585.6, 0, 1
392585.75, 0, 1
392585.9, 0, 1
392586.05, 0, 1
392586.2, 0, 1
392586.35, 0, 1
392586.5, 0, 1
392586.65, 0, 1
392586.8, 0, 1
392586.95, 0, 1
392587.1, 0, 1
392587.25, 0, 1
392587.4, 0, 1
392587.55, 0, 1
392587.7, 0, 1
392587.85, 0, 1
392588.0, 0, 1
392588.15, 0, 1
392588.3, 0, 1
392588.45, 0, 1
392588.6, 0, 1
392588.75, 0, 1
392588.9, 0, 1
392589.05, 0, 1
392589.2, 0, 1
392589.35, 0, 1
392589.5, 0, 1
392589.65, 0, 1
392589.8, 0, 1
392589.95, 0, 1
392590.1, 0, 1
392590.25, 0, 1
392590.4, 0, 1
392590.55, 0, 1
392590.7, 0, 1
392590.85, 0, 1
392591.0, 0, 1
392591.15, 0, 1
392591.3, 0, 1
392591.45, 0, 1
392591.6, 0, 1
392591.75, 0, 1
392591.9, 0, 1
392592.05, 0, 1
392592.2, 0, 1
392592.35, 0, 1
392592.5, 0, 1
392592.65, 0, 1
392592.8, 0, 1
392592.95, 0, 1
392593.1, 0, 1
392593.25, 0, 1
392593.4, 0, 1
392593.55, 0, 1
392593.7, 0, 1
392593.85, 0, 1
392594.0, 0, 1
392594.15, 0, 1
392594.3, 0, 1
392594.45, 0, 1
392594.6, 0, 1
392594.75, 0, 1
392594.9, 0, 1
392595.05, 0, 1
392595.2, 0, 1
392595.35, 0, 1
392595.5, 0, 1
392595.65, 0, 1
392595.8, 0, 1
392595.95, 0, 1
392596.1, 0, 1
392596.25, 0, 1
392596.4, 0, 1
392596.55, 0, 1
392596.7, 0, 1
392596.85, 0, 1
392597.0, 0, 1
392597.15, 0, 1
392597.3, 0, 1
392597.45, 0, 1
392597.6, 0, 1
392597.75, 0, 1
392597.9, 0, 1
392598.05, 0, 1
392598.2, 0, 1
392598.35, 0, 1
392598.5, 0, 1
392598.65, 0, 1
392598.8, 0, 1
392598.95, 0, 1
392599.1, 0, 1
392599.25, 0, 1
392599.4, 0, 1
392599.55, 0, 1
392599.7, 0, 1
392599.85, 0, 1
392600.0, 0, 1
392600.15, 0, 1
392600.3, 0, 1
392600.45, 0, 1
392600.6, 0, 1
392600.75, 0, 1
392600.9, 0, 1
392601.05, 0, 1
392601.2, 0, 1
392601.35, 0, 1
392601.5, 0, 1
392601.65, 0, 1
392601.8, 0, 1
392601.95, 0, 1
392602.1, 0, 1
392602.25, 0, 1
392602.4, 0, 1
392602.55, 0, 1
392602.7, 0, 1
392602.85, 0, 1
392603.0, 0, 1
392603.15, 0, 1
392603.3, 0, 1
392603.45, 0, 1
392603.6, 0, 1
392603.75, 0, 1
392603.9, 0, 1
392604.05, 0, 1
392604.2, 0, 1
